rank,country,qty_tonnes,avg_price_usd,loss_percent,value_usd,projection_10,projection_20
1,India,34500000,382,30,13167000000,1316700000,2633400000
2,China,11800000,538,25,6344400000,634440000,1268880000
3,Indonesia,9200000,250,35,2300000000,230000000,460000000
4,Brazil,6900000,1160,30,8004000000,800400000,1600800000
5,Ecuador,6100000,717,12,4373700000,437370000,874740000
6,Philippines,5900000,578,3,3406200000,340620000,681240000
7,Guatemala,4800000,382,25,1833600000,183360000,366720000
8,Angola,4600000,684,25,3146400000,314640000,629280000
9,Tanzania,3500000,444,30,1554000000,155400000,310800000
10,Colombia,2500000,452,25,1130000000,113000000,226000000
11,Costa Rica,2400000,462,50,1108800000,110880000,221760000
12,Mexico,2200000,585,20,1287000000,128700000,257400000
13,Vietnam,2100000,418,8,878800000,87880000,175760000
14,Rwanda,1900000,616,29,1170400000,117040000,234080000
15,Kenya,1700000,450,40,765000000,76500000,153000000
